台北士林萬麗酒店,Renaissance Taipei Shihlin Hotel,士林區中山北路五段470巷8號,"No.8,Ln.470,Sec.5, Zhongshan N. Rd., Shilin Dist.",02-88612389,104
台北棧,Taipei Inn,中正區許昌街40號5樓、5樓之1、5樓之2、6樓、6樓之1、6樓之2、7樓、7樓之1、7樓之2、7樓之3,"No. 40, Xuchang St., Zhongzheng Dist.",02-23313381,34
南陽街壹號旅店,NYS LOFT HOTEL,中正區南陽街1號3樓至4樓,"3F.4F., No.1, Nanyang St., Zhongzheng Dist.",02-23888377,79
豪景大酒店新館,Riverview Suites Taipei,萬華區成都路173之1號B2及1至7樓,"No173-1, Chengdu Rd., Wanhua Dist.",02-23113130,48
愛活商旅,Lavita Hotel,萬華區西寧南路36號10樓之3,"10F.-3, No.36, Xining S. Rd., Wanhua Dist.",02-23615205,22
皇家玫瑰旅館新生館,Royal Rose Hotel x?nsh?ng,大安區新生南路一段103巷37號(1至5樓),"No.37, Ln. 103, Sec. 1, Xinsheng S. Rd., Da’an Dist.",02-27522077,21
成都壹壹壹商旅,Chengdu 111 Business Hotel,萬華區成都路111號1樓-6樓,"1-6F, No. 111, Chengdu Road, Wanhua District",02-23751022,11
清翼居旅店采風館,Morwing Hotel Culture Vogue,中正區南陽街8號2至5樓,"2-5F, No.8, Nanyang St., Zhongzheng Dist.",02-23123661,50
台灣青旅,Taiwan Youth hostel,中正區青島西路11號地下1樓,"B1, No.11, Qingdao W. Rd., Zhongzheng Dist.",02-23613000,12
長榮桂冠酒店 (台北),Evergreen Laurel Hotel (Taipei),中山區松江路63號,"No.63, Songjiang Rd., Zhongshan Dist.",02-25019988,95
水都溫泉會館,Spa spring Resort,北投區光明路283號,"No.283, Guangming Rd., Beitou District",02-28979060,33
旅樂序精品旅館三館,HOTEL RELAX3,中正區懷寧街34號1至8樓,"1-8F., No.34, Huaining St., Zhongzheng Dist.",02-23758333,41
葫蘆商旅,H Hotel,士林區重慶北路四段202號1-4樓、204號1樓,"No.202, Sec. 4, Chongqing N. Rd., Shilin Dist.",02-28119395,19
?美精旅,Hotel B7,中正區重慶南路1段111號,"No.111, Sec. 1, Chongqing S. Rd., Zhongzheng Dist.",02-23832088,38
山樂溫泉,Shan Yao Hot Spring Hotel,北投區泉源路1巷17號1-2樓,"1-2F., No.17, Ln. 1, Quanyuan Rd., Beitou Dist.",02-28913388,9
綺樂文旅 開封館,LE ROOM HOTEL,中正區開封街一段35號1至8樓,"No.35, Sec. 1, Kaifeng St., Zhongzheng Dist.",02-23615889,63
米窩飯店-中山,Meworld Hotel-Zhongshan,中山區中山北路二段183巷30、32號3樓,"3F., No.30,32, Ln. 183, Sec. 2, Zhongshan N. Rd., Zhongshan Dist.",02-25910183,13
旅樂序精品旅館五館,Hotel Relax 5,中正區重慶南路一段20號B1樓至10樓,"No.20, Sec. 1, Chongqing S. Rd., Zhongzheng Dist.",02-23756777,57
多郎明哥旅館,Dolamanco Hotel,大安區信義路三段73號,"No.73, Sec. 3, Xinyi Rd., Da’an Dist.",02-27001200,30
趣西門旅店,Funny Ximen Hotel,萬華區武昌街二段72號7樓,"7F., No. 72, Sec. 2, Wuchang St., Wanhua Dist.",02-23618266,27
璞漣商務旅館臺北車站店,HOTEL PURI TAIPEI STATION,大同區華陰街46號3樓,"3F., No.46, Huayin St., Datong District",02-25592662,43
